																					
Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1984	12	38,112																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	1	27,005																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	2	33,102																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	3	76,690																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	4	135,273																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	5	133,091																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	6	101,205																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	7	75,198																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	8	53,766																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	9	25,603																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	10	46,467																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	11	37,608																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1985	12	24,772																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	1	12,892																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	2	30,931																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	3	68,055																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	4	134,862																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	5	133,514																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	6	109,110																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	7	82,159																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	8	65,250																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	9	28,078																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	10	47,358																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	11	49,484																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1986	12	24,460																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	1	13,904																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	2	33,844																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	3	78,998																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	4	151,762																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	5	153,937																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	6	101,818																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	7	71,267																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	8	47,448																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	9	47,745																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	10	57,830																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	11	33,600																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1987	12	35,622																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	1	16,939																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	2	37,740																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	3	116,691																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	4	164,558																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	5	159,495																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	6	97,956																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	7	60,227																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	8	49,898																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	9	44,711																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	10	54,661																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	11	39,249																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1988	12	41,323																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	1	25,153																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	2	35,156																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	3	71,544																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	4	140,533																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	5	109,497																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	6	94,673																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	7	82,894																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	8	69,293																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	9	36,871																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	10	41,347																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	11	36,730																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1989	12	38,006																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	1	19,342																		
